2227,کگهرح2,سنگ آهن گهرزمین,6,5,2021-01-10,Gohar Zamin Iron-R,,IRR3GZIZ0102,GZIX2,ح . سنگ آهن گهرزمین,37611171240459252,IRR3GZIZ0104,GZIZ,1236,15,31,
6,اکتیو,پدیده شیمی قرن,4,32,2021-03-12 03:17:46.751275,PadidehShimi Gharn,ACTV1,IRO1ACTV0001,ACTV1,پدیده شیمی قرن,66991919802409760,IRO1ACTV0008,ACTV,,9,1,
7,امید,تامین سرمایه امید,4,53,2021-03-12 03:17:46.751275,Investment Banking,OMID1,IRO1OMID0001,OMID1,تامین سرمایه امید,18599703143458101,IRO1OMID0005,OMID,,9,1,
9,امین,تامین سرمایه امین,4,53,2021-03-12 03:17:46.751275,Amin Investment,TSAN1,IRO1TSAN0001,TSAN1,تامین سرمایه امین,58873907630765023,IRO1TSAN0000,TSAN,,9,1,
10,انرژی1,نهادهای مالی بورس انرژی,4,53,2021-03-12 03:17:46.751275,Nahad Mali Energy,BENA1,IRO1BENA0001,BENA1,نهادهای مالی بورس انرژی,61725225143026283,IRO1BENA0006,BENA,,9,1,
1236,کگهرح,ح . سنگ آهن گهرزمین,6,5,2021-02-19 03:15:37.606664,Gohar Zamin Iron-R,,IRR3GZIZ0101,GZIX1,ح . سنگ آهن گهرزمین,61992978919342064,IRR3GZIZ0104,GZIZ,1086,15,26,
11,انرژی2,فعالان بورس انرژی,4,53,2021-03-12 03:17:46.751275,Activists Energy B,BENB1,IRO1BENB0001,BENB1,فعالان بورس انرژی,16330743198286823,IRO1BENB0005,BENB,,9,1,
22,برانسفو,ترانسفورماتور توزیع زنگان,4,20,2021-03-12 03:17:46.751275,Zangan Dist. Trans,TTZC1,IRO1TTZC0001,TTZC1,ترانسفورماتور توزیع زنگان,64703398743024121,IRO1TTZC0003,TTZC,,9,1,
25,بسویچ,پارس‌سویچ‌,4,20,2021-03-12 03:17:46.751275,Pars Switch,SWIC1,IRO1SWIC0001,SWIC1,پارس‌سویچ‌,47377315952751604,IRO1SWIC0000,SWIC,,9,1,
1239,دقاضیح,ح . داروسازی شهید قاضی,8,31,2021-03-12 03:23:54.027821,SHGhazi Pharmacy-R,,IRR7GPHP0101,GPHX1,ح . داروسازی شهید قاضی,21173014653958212,IRR7GPHP0105,GPHP,1134,17,26,
