35,965
1,1
6,1101
7,2
68,4
69,1035
72,1036
73,966
76,551
85,1037
19,1102
28,1103
40,550
41,3
102,967
108,968
110,5
2198,6
44,704
120,553
130,7
136,9
151,969
66,1104
164,13
180,970
181,15
185,17
186,971
189,972
191,555
192,19
195,21
196,973
197,1214
200,22
202,23
204,1039
207,974
209,25
210,27
215,29
217,30
218,708
220,1040
221,1041
222,1042
223,556
226,1105
229,1043
231,710
239,975
223,558
238,4465
259,32
261,34
263,559
270,712
273,35
277,37
283,39
290,40
291,1044
294,42
295,44
297,46
304,561
315,48
323,49
324,51
326,53
327,715
328,55
336,57
337,59
338,61
348,63
355,1106
357,976
358,64
362,66
369,563
372,1045
374,67
376,69
377,1107
394,71
398,1108
408,73
409,75
410,77
411,1109
412,79
414,1046
415,1110
416,81
417,83
418,84
422,86
426,1047
428,1215
450,717
451,88
452,89
453,91
454,93
455,977
456,95
457,96
458,978
461,97
463,979
2206,979
464,1048
465,1111
467,1112
470,980
471,1113
2197,1113
472,565
473,720
475,1114
479,982
480,98
481,1115
483,567
484,100
485,1116
486,1117
487,1118
488,101
494,103
495,104
505,1119
497,1120
508,106
509,108
510,1049
511,722
513,110
514,112
515,113
516,115
518,117
519,119
526,1121
523,983
533,1122
534,984
535,121
2208,121
536,569
539,1050
543,1123
546,985
548,986
549,1051
550,125
551,571
552,723
557,126
559,1052
569,128
577,724
574,130
578,1124
581,573
582,132
584,134
585,136
586,726
587,575
590,728
599,1053
600,138
602,139
603,141
604,143
605,730
606,145
608,147
609,149
611,1125
612,1126
613,151
614,1127
615,732
617,153
618,1128
619,155
620,577
621,157
622,1129
624,734
625,736
628,159
627,738
632,163
636,1130
638,165
646,167
649,1131
652,168
655,170
656,579
658,580
659,740
662,987
663,988
665,172
666,742
669,1201
669,173
667,1054
668,989
670,582
671,1132
673,175
675,177
678,990
677,179
681,181
683,1055
684,584
685,183
687,184
689,1133
690,186
691,188
692,744
693,189
694,1134
695,991
696,746
697,586
698,191
699,193
701,1056
706,1135
708,1057
712,195
715,1058
718,1059
719,588
726,590
730,197
734,1202
738,748
739,750
740,1060
751,1062
752,992
753,199
754,993
758,994
759,995
762,996
763,1063
2216,1063
764,997
765,200
766,998
767,999
768,201
769,1064
771,1136
774,1000
781,203
788,204
789,751
790,206
791,1137
792,592
795,1138
799,208
800,209
801,1001
802,1139
803,211
839,1065
840,213
841,215
843,594
846,217
851,218
852,1066
858,596
860,1140
863,219
865,753
867,1141
868,755
869,1067
870,221
871,223
874,1068
880,598
885,600
886,757
887,225
888,602
889,227
890,758
891,228
892,604
893,759
895,1142
895,230
896,761
899,232
900,234
902,236
903,606
905,1143
908,763
909,1144
910,1145
912,1002
918,1203
919,238
922,239
924,765
931,241
932,242
934,767
935,244
940,768
944,608
945,1069
947,247
948,1070
951,769
952,1003
953,249
954,610
955,250
956,1071
957,612
958,771
959,773
960,252
961,254
962,614
963,256
966,257
964,1004
965,259
967,1146
968,260
970,616
971,261
973,1072
974,1073
980,263
982,265
983,1147
984,267
985,4466
986,1204
989,268
991,270
993,1074
994,272
996,1005
997,274
998,275
999,776
1000,618
1002,1148
1003,277
1004,278
1005,779
1007,1217
1008,781
1010,1149
1011,280
1012,1205
1015,283
1016,620
1019,285
1020,783
1027,622
1028,784
1040,1006
1094,287
1095,289
1096,624
1097,1150
2228,291
1098,293
1099,1007
1100,295
1101,1151
1103,626
1104,297
1105,299
1106,301
1107,1008
1108,303
1109,304
1110,786
